kid直播,#genre#
中央新影-中学生,https://live3.rxip.sc96655.com/live/zxs_4000.m3u8
四川GD,#genre#
四川卫视,https://live3.rxip.sc96655.com/live/scwsH265_4000.m3u8
四川文化旅游,https://live3.rxip.sc96655.com/live/SCTV-2-H265_4000.m3u8
四川经济,https://live3.rxip.sc96655.com/live/SCTV-3-H265_4000.m3u8
四川新闻,https://live3.rxip.sc96655.com/live/SCTV-4H265_4000.m3u8
四川影视文艺,https://live3.rxip.sc96655.com/live/SCTV-5-scysH265_4000.m3u8
四川妇女儿童,https://live3.rxip.sc96655.com/live/SCTV-7-_4000.m3u8
四川科教,https://live3.rxip.sc96655.com/live/SCTV-ggSCTV-8_4000.m3u8
四川乡村,https://live3.rxip.sc96655.com/live/SCTV-kjSCTV-9-_4000.m3u8
四川康巴卫视,https://live3.rxip.sc96655.com/live/kbwsH264_2000.m3u8
四川峨嵋电影,https://live3.rxip.sc96655.com/live/emdygqH265_4000.m3u8
四川超高清电影,https://live3.rxip.sc96655.com/live/emdy4k_8000.m3u8
成都新闻综合,https://live3.rxip.sc96655.com/live/CDTV-1_4000.m3u8
成都经济资讯,https://live3.rxip.sc96655.com/live/CDTV-2_4000.m3u8
成都都市生活,https://live3.rxip.sc96655.com/live/CDTV-3_4000.m3u8
成都影视文艺,https://live3.rxip.sc96655.com/live/CDTV-4_4000.m3u8
成都公共频道,https://live3.rxip.sc96655.com/live/CDTV-5_4000.m3u8
成都高新区,https://live3.rxip.sc96655.com/live/cdgxdstgq_2000.m3u8
凤凰中文,https://live3.rxip.sc96655.com/live/test1_4000.m3u8
凤凰资讯,https://live3.rxip.sc96655.com/live/test2_4000.m3u8


阿坝州TV,https://live3.rxip.sc96655.com/live/abxwzhpdgq_2000.m3u8
阿坝州藏语,https://live3.rxip.sc96655.com/live/wypdgqH265_4000.m3u8
安居综合,https://live3.rxip.sc96655.com/live/ajxw_2000.m3u8
安岳综合频道,https://live3.rxip.sc96655.com/live/ayxwzh_4000.m3u8
安州综合频道,https://live3.rxip.sc96655.com/live/azgq_2000.m3u8
巴中文旅生活,https://live3.rxip.sc96655.com/live/bzetH264_2000.m3u8
巴中综合,https://live3.rxip.sc96655.com/live/bzytH265_4000.m3u8
巴州电视,https://live3.rxip.sc96655.com/live/bzxw_4000.m3u8
宝兴综合,https://live3.rxip.sc96655.com/live/bxdst_2000.m3u8
北川综合,https://live3.rxip.sc96655.com/live/bcxwHD_2000.m3u8
苍溪综合,https://live3.rxip.sc96655.com/live/cxxwgqH265_4000.m3u8
长宁综合,https://live3.rxip.sc96655.com/live/znzh_2000.m3u8
朝天综合,https://live3.rxip.sc96655.com/live/ctxwzh_2000.m3u8
崇州,https://live3.rxip.sc96655.com/live/czyt_4000.m3u8
船山综合,https://live3.rxip.sc96655.com/live/csxw_2000.m3u8
达川新闻综合,https://live3.rxip.sc96655.com/live/dcxwzh_2000.m3u8
达州导视,https://live3.rxip.sc96655.com/live/dzds_2000.m3u8
达州公共,https://live3.rxip.sc96655.com/live/dzgg_2000.m3u8
达州新闻综合,https://live3.rxip.sc96655.com/live/dzxwzh_2000.m3u8
大邑电视台,https://live3.rxip.sc96655.com/live/dyytH265_4000.m3u8
大英新闻综合,https://live3.rxip.sc96655.com/live/dyxwzhH265_4000.m3u8
丹棱综合,https://live3.rxip.sc96655.com/live/dlxwzhH265_4000.m3u8
德昌电视台,https://live3.rxip.sc96655.com/live/dcxw_4000.m3u8
东兴综合,https://live3.rxip.sc96655.com/live/dxxwzh_4000.m3u8
都江堰,https://live3.rxip.sc96655.com/live/djyzh_4000.m3u8
峨边电视台,https://live3.rxip.sc96655.com/live/ebdst_2000.m3u8
峨眉综合,https://live3.rxip.sc96655.com/live/emsxw_2000.m3u8
恩阳新闻,https://live3.rxip.sc96655.com/live/eyxw_2000.m3u8
涪城综合,https://live3.rxip.sc96655.com/live/fcgq_2000.m3u8
富顺综合,https://live3.rxip.sc96655.com/live/fszh_2000.m3u8
甘孜综合,https://live3.rxip.sc96655.com/live/gzxwzh_2000.m3u8
高县-1,https://live3.rxip.sc96655.com/live/gxt_2000.m3u8
古蔺新闻综合,https://live3.rxip.sc96655.com/live/glxwzhgq_2000.m3u8
